,p_val,avg_log2FC,pct_1,pct_2,p_val_adj,clusterName,gene
2317,8.78029810465476e-78,0.74182864,0.38,0.26,1.90550029467218e-73,Cortex,Solyc03g118780
2318,1.16805078328143e-119,0.739266828,0.347,0.199,2.53490380987736e-115,Cortex,Solyc01g086920
2319,1.54005379770706e-96,0.735288979,0.73,0.619,3.34222475178386e-92,Cortex,Solyc10g005100
2320,2.81334938571511e-114,0.731293775,0.513,0.392,6.10553083687893e-110,Cortex,Solyc02g065765
2321,2.48314086117061e-70,0.716446487,0.426,0.297,5.38891229691247e-66,Cortex,Solyc01g099840
2322,0,0.714352309,0.307,0.039,0,Cortex,Solyc06g075250
2323,2.18727897664664e-146,0.712268737,0.499,0.312,4.74683283511854e-142,Cortex,Solyc05g051850
2324,2.83147172233999e-85,0.708344064,0.372,0.245,6.14485993182225e-81,Cortex,Solyc04g016230
2325,7.82161542775135e-243,0.705931632,0.344,0.131,1.6974469801306e-238,Cortex,Solyc09g090510
2326,0,0.703153558,0.336,0.08,0,Cortex,Solyc06g063330
2327,3.8284895179072e-140,0.700326424,0.489,0.321,8.3085879517622e-136,Cortex,Solyc02g094120
2328,9.89563861756656e-86,0.695676062,0.446,0.34,2.1475514927843e-81,Cortex,Solyc04g071540
2329,3.0586804860605e-94,0.692956147,0.347,0.22,6.63794839084851e-90,Cortex,Solyc10g005960
2330,2.48325269373255e-93,0.690952343,0.528,0.399,5.38915499593837e-89,Cortex,Solyc02g086880
2331,1.91565192789646e-248,0.688870917,0.347,0.132,4.1573478139209e-244,Cortex,Solyc02g082670
2332,2.85916199202224e-102,0.679082743,0.612,0.555,6.20495335508666e-98,Cortex,Solyc01g087210
2333,7.78987130491986e-151,0.674366746,0.319,0.149,1.69055787059371e-146,Cortex,Solyc07g043130
2334,2.09381521751978e-98,0.674309549,0.675,0.639,4.54399778506143e-94,Cortex,Solyc02g082760
2335,1.7433798877205e-83,0.67350779,0.439,0.309,3.78348303233103e-79,Cortex,Solyc06g069400
2336,2.48778209781669e-81,0.670398225,0.399,0.285,5.39898470868178e-77,Cortex,Solyc09g082560
2337,3.05561884041061e-130,0.669918261,0.458,0.294,6.63130400745912e-126,Cortex,Solyc04g018110
2338,3.36228336557197e-193,0.669717341,0.399,0.197,7.29682735996428e-189,Cortex,Solyc12g089180
2339,2.37309690905649e-71,0.66687603,0.617,0.509,5.15009491203439e-67,Cortex,Solyc07g053540
2340,5.7866593456267e-50,0.665683447,0.305,0.216,1.25582081118791e-45,Cortex,Solyc04g008260
2341,2.44440446357838e-63,0.657744292,0.552,0.496,5.3048465668578e-59,Cortex,Solyc05g010420
2342,6.03265877556619e-31,0.653375023,0.73,0.757,1.30920760747337e-26,Cortex,Solyc04g080960
2343,1.78592344815437e-101,0.64672944,0.557,0.461,3.87581106718461e-97,Cortex,Solyc07g061970
2344,2.60703243383647e-13,0.639250321,0.316,0.279,5.6577817879119e-09,Cortex,Solyc08g080750
2345,1.63244594809992e-88,0.6361243,0.702,0.623,3.54273419656645e-84,Cortex,Solyc09g075890
2346,2.36431687422147e-44,0.629510346,0.396,0.319,5.13104048043543e-40,Cortex,Solyc10g054440
2347,3.09162053800484e-97,0.628629111,0.598,0.536,6.7094348915781e-93,Cortex,Solyc12g098640
2348,2.79485545255685e-62,0.627665707,0.66,0.632,6.06539530313887e-58,Cortex,Solyc03g113730
2349,3.43855866795046e-69,0.627369808,0.726,0.713,7.46236002118608e-65,Cortex,Solyc01g006900
2350,1.59427448913266e-86,0.626312075,0.439,0.316,3.4598944963157e-82,Cortex,Solyc03g031800
2351,8.23787580243985e-94,0.625337579,0.333,0.201,1.7877838066455e-89,Cortex,Solyc04g050170
2352,4.61457508423296e-55,0.624280038,0.53,0.466,1.00145508478024e-50,Cortex,Solyc10g081160
2353,3.76198929846547e-80,0.618185164,0.654,0.632,8.16426917552977e-76,Cortex,Solyc04g074100
2354,5.6033273800319e-170,0.617175534,0.351,0.17,1.21603410801452e-165,Cortex,Solyc01g109570
2355,7.10596418473362e-76,0.614868101,0.611,0.566,1.54213634737089e-71,Cortex,Solyc03g026220
2356,2.00811643204296e-117,0.61359656,0.389,0.239,4.35801428081963e-113,Cortex,Solyc08g082010
2357,1.03501929828077e-58,0.612431856,0.317,0.213,2.24619888112894e-54,Cortex,Solyc03g111710
2358,3.84461658517478e-07,0.61182573,0.507,0.532,0.008343587,Cortex,Solyc01g102660
2359,6.68544116815735e-72,0.61041456,0.363,0.246,1.45087444231351e-67,Cortex,Solyc01g010270
2360,6.97343467099295e-128,0.606999634,0.342,0.178,1.51337479229889e-123,Cortex,Solyc04g011750
2361,1.08963521603802e-61,0.606676084,0.389,0.294,2.3647263458457e-57,Cortex,Solyc03g114730
2362,3.81735057782749e-127,0.605762443,0.391,0.237,8.28441422400123e-123,Cortex,Solyc12g055840
2363,6.63577058354144e-44,0.597490259,0.337,0.24,1.44009493204016e-39,Cortex,Solyc09g007900
2364,3.62541789936536e-170,0.587366108,0.938,0.973,7.86788192520269e-166,Cortex,Solyc08g006890
2365,4.6655330276862e-60,0.58650951,0.524,0.461,1.01251397766846e-55,Cortex,Solyc07g055290
2366,1.38059517296982e-106,0.585414847,0.843,0.874,2.99616764437911e-102,Cortex,Solyc04g077020
2367,1.23804987417934e-24,0.584537123,0.415,0.378,2.68681583694401e-20,Cortex,Solyc07g007870
