"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
9.71008573018616e-59,0.687496212383514,0.527,0.414,2.107282805165e-54,"EXO_iCOR1","Solyc02g078670"
4.96116704380413e-69,0.683403546581263,0.552,0.453,1.07667247184637e-64,"EXO_iCOR1","Solyc10g055670"
3.11935615867721e-133,0.682939651985784,0.809,0.722,6.76962673556128e-129,"EXO_iCOR1","Solyc01g073690"
1.23476744373625e-143,0.680409736024485,0.82,0.759,2.67969230639641e-139,"EXO_iCOR1","Solyc01g109520"
1.58446964189655e-54,0.677373165287469,0.666,0.628,3.43861601684389e-50,"EXO_iCOR1","Solyc11g010470"
1.10262931591683e-43,0.668891102732848,0.553,0.42,2.39292614140269e-39,"EXO_iCOR1","Solyc11g051160"
4.44082545610469e-71,0.668701482142134,0.505,0.353,9.6374794048384e-67,"EXO_iCOR1","Solyc09g057710"
6.81114326897104e-98,0.659525102061567,0.752,0.661,1.4781543122321e-93,"EXO_iCOR1","Solyc09g098170"
9.92303321222383e-50,0.639888163377808,0.502,0.411,2.15349666771682e-45,"EXO_iCOR1","Solyc03g005600"
6.3203734137229e-103,0.635629771507547,0.772,0.715,1.37164743824614e-98,"EXO_iCOR1","Solyc01g110120"
1.97279221952529e-131,0.628844199996486,0.859,0.811,4.28135367481378e-127,"EXO_iCOR1","Solyc12g088670"
1.43708633092302e-85,0.624243499732347,0.706,0.574,3.11876475536913e-81,"EXO_iCOR1","Solyc06g005810"
1.01071195743587e-68,0.619722222139768,0.65,0.554,2.19344709002732e-64,"EXO_iCOR1","Solyc02g082080"
1.48574426027814e-158,0.611653307762722,0.887,0.816,3.22436219365563e-154,"EXO_iCOR1","Solyc02g084360"
6.01202130483728e-67,0.607165284880399,0.866,0.795,1.30472886357579e-62,"EXO_iCOR1","Solyc10g055630"
2.64697785603763e-68,0.602858016119354,0.533,0.385,5.74447134317287e-64,"EXO_iCOR1","Solyc01g080280"
9.33763915327895e-126,0.602673406608143,0.84,0.78,2.0264544490446e-121,"EXO_iCOR1","Solyc11g011960"
