"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
1.38912561121479e-50,0.546507704094169,0.645,0.664,4.10861682028998e-46,"EMC","Os03g0720300"
1.60898333987989e-31,0.544979146320564,0.581,0.613,4.75889002436275e-27,"EMC","Os04g0685300"
2.28487178389904e-69,0.544845251532678,0.681,0.711,6.75796527523818e-65,"EMC","Os12g0514100"
0.00120186011471252,0.541460566601214,0.423,0.533,1,"EMC","Os07g0583000"
1.06029848265575e-29,0.537158932777113,0.583,0.657,3.1360448221509e-25,"EMC","Os06g0643300"
1.80055911619748e-124,0.533423528832386,0.849,0.833,5.32551369797728e-120,"EMC","Os04g0601700"
9.6490367590782e-45,0.523624158007001,0.597,0.555,2.85389560223256e-40,"EMC","Os03g0760200"
1.76218902337439e-120,0.515741476769413,0.784,0.701,5.21202647443444e-116,"EMC","Os01g0667900"
5.93282058161433e-33,0.513332393592017,0.53,0.508,1.75475034342407e-28,"EMC","Os02g0129800"
2.30116587114991e-21,0.505431619415714,0.557,0.607,6.8061582971001e-17,"EMC","Os02g0739400"
1.18672553184159e-85,0.501308021176498,0.792,0.706,3.50997810552787e-81,"EMC","Os09g0367700"
0,3.37745696231148,0.667,0.155,0,"Meristem","Os08g0561500"
0,1.97730259163921,0.611,0.21,0,"Meristem","Os03g0241200"
0,1.776618940457,0.61,0.19,0,"Meristem","Os01g0260800"
0,1.66476305274143,0.761,0.47,0,"Meristem","Os03g0139100"
0,1.63578266815441,0.84,0.614,0,"Meristem","Os03g0424800"
0,1.62725454289078,0.799,0.555,0,"Meristem","Os03g0408300"
0,1.62205811301453,0.537,0.185,0,"Meristem","Os01g0723200"
0,1.61668028645052,0.757,0.463,0,"Meristem","Os03g0598800"
0,1.59781451257653,0.729,0.44,0,"Meristem","Os05g0155100"
0,1.59572058249782,0.647,0.324,0,"Meristem","Os02g0478700"
0,1.59571138907067,0.776,0.515,0,"Meristem","Os08g0117300"
0,1.59208256906659,0.697,0.401,0,"Meristem","Os10g0465800"
0,1.59061358696842,0.679,0.369,0,"Meristem","Os03g0424500"
0,1.58167005969734,0.664,0.348,0,"Meristem","Os10g0564300"
0,1.56054798838404,0.641,0.359,0,"Meristem","Os09g0413500"
0,1.55876776917347,0.809,0.553,0,"Meristem","Os05g0160200"
6.60191495481906e-207,1.5582452671823,0.653,0.455,1.95264838618683e-202,"Meristem","Os04g0418800"
0,1.54696821701238,0.819,0.627,0,"Meristem","Os02g0717800"
0,1.54646779223653,0.822,0.579,0,"Meristem","Os12g0567700"
0,1.52603515384309,0.698,0.417,0,"Meristem","Os02g0622300"
0,1.5196883551641,0.745,0.481,0,"Meristem","Os09g0258600"
0,1.51301463832548,0.878,0.681,0,"Meristem","Os08g0116500"
0,1.51242358214582,0.819,0.572,0,"Meristem","Os07g0565100"
0,1.51184921860887,0.644,0.339,0,"Meristem","Os07g0229900"
0,1.51160199783988,0.72,0.415,0,"Meristem","Os01g0191100"
0,1.51122681959319,0.673,0.394,0,"Meristem","Os03g0154700"
0,1.50525702655341,0.699,0.432,0,"Meristem","Os05g0490100"
0,1.49979927925364,0.557,0.246,0,"Meristem","Os01g0100700"
0,1.49675882356814,0.655,0.368,0,"Meristem","Os07g0622100"
0,1.48589327991757,0.517,0.23,0,"Meristem","Os02g0618250"
0,1.48483115623734,0.72,0.476,0,"Meristem","Os01g0834500"
0,1.47289211238745,0.769,0.535,0,"Meristem","Os03g0141000"
0,1.47218492873963,0.707,0.453,0,"Meristem","Os08g0326400"
0,1.47024944702225,0.707,0.412,0,"Meristem","Os09g0507800"
0,1.46813635013849,0.757,0.549,0,"Meristem","Os03g0756000"
0,1.45907685983892,0.679,0.406,0,"Meristem","Os03g0200500"
0,1.45854418212213,0.774,0.527,0,"Meristem","Os01g0896700"
0,1.45319109866174,0.663,0.374,0,"Meristem","Os08g0234000"
0,1.45311593325113,0.747,0.507,0,"Meristem","Os03g0337800"
0,1.45243941911084,0.642,0.364,0,"Meristem","Os07g0208000"
0,1.44867241702921,0.699,0.442,0,"Meristem","Os03g0807800"
0,1.44383260751199,0.786,0.57,0,"Meristem","Os10g0411800"
0,1.43785523054921,0.734,0.492,0,"Meristem","Os11g0127900"
0,1.42852765093102,0.605,0.31,0,"Meristem","Os11g0168200"
0,1.42509427753502,0.687,0.406,0,"Meristem","Os02g0814700"
0,1.42445365815777,0.693,0.442,0,"Meristem","Os03g0577000"
