"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
1.04668963271808e-109,0.569457201401242,0.663,0.656,2.09337926543616e-106,"1","MtrunA17Chr4g0034761"
0,0.556025414971127,0.901,0.719,0,"1","MtrunA17Chr3g0112391"
1.55119941728479e-106,0.547237144938444,0.922,0.818,3.10239883456958e-103,"1","MtrunA17Chr7g0232561"
0,0.547087140691357,0.885,0.738,0,"1","MtrunA17Chr4g0051791"
1.01000308543941e-220,0.541666050211246,0.948,0.857,2.02000617087881e-217,"1","MtrunA17Chr4g0058261"
0.000292965163301171,0.535643568434748,0.485,0.524,0.585930326602342,"1","MtrunA17Chr8g0369761"
1.80780014231769e-96,0.52958561277707,0.75,0.68,3.61560028463539e-93,"1","MtrunA17Chr6g0482081"
0,0.525985831806173,0.864,0.72,0,"1","MtrunA17Chr1g0173761"
5.22231514701776e-80,0.506570190834283,0.973,0.916,1.04446302940355e-76,"1","MtrunA17Chr3g0145051"
9.11315271129213e-93,0.503923356403418,0.935,0.881,1.82263054225843e-89,"1","MtrunA17Chr8g0355811"
0,3.49242688851755,0.791,0.573,0,"2","MtrunA17Chr8g0348191"
0,3.46552210851957,0.89,0.623,0,"2","MtrunA17Chr6g0481011"
0,3.46073873470238,0.914,0.613,0,"2","MtrunA17Chr3g0096821"
0,3.394110418325,0.921,0.662,0,"2","MtrunA17Chr1g0159111"
5.52560414982949e-233,3.33512223457962,0.636,0.447,1.1051208299659e-229,"2","Disease%20resistance%20protein-2"
0,3.2347544065068,0.843,0.54,0,"2","MtrunA17Chr3g0105521"
0,3.22875449182222,0.834,0.587,0,"2","MtrunA17Chr7g0250481"
0,3.15738532316534,0.847,0.602,0,"2","MtrunA17Chr3g0085651"
0,3.03823249163177,0.909,0.722,0,"2","MtrunA17Chr8g0342201"
0,3.03072067848336,0.816,0.612,0,"2","MtrunA17Chr8g0358031"
0,2.91899764681924,0.96,0.704,0,"2","MtrunA17Chr1g0163631"
0,2.87499504793493,0.828,0.628,0,"2","MtrunA17Chr3g0105481"
0,2.74151786815062,0.875,0.59,0,"2","MtrunA17Chr1g0163761"
0,2.59265259156495,0.869,0.542,0,"2","MtrunA17Chr6g0455031"
0,2.50608040828419,0.84,0.591,0,"2","MtrunA17Chr3g0142131"
0,2.4390397717306,0.685,0.438,0,"2","MtrunA17Chr7g0221061"
0,2.42627443683941,0.859,0.644,0,"2","MtrunA17Chr1g0151161"
0,2.41599412762548,0.841,0.679,0,"2","MtrunA17Chr3g0082471"
0,2.17734129203255,0.826,0.648,0,"2","MtrunA17Chr3g0108171"
0,2.15677425246608,0.814,0.654,0,"2","MtARF4%3BMtARF7%3B%20MtARF4b"
0,2.09851157676109,0.774,0.67,0,"2","MtrunA17Chr6g0481881"
0,2.05825609773298,0.732,0.472,0,"2","MtrunA17Chr5g0436261"
0,2.04699808268938,0.779,0.631,0,"2","MtrunA17Chr7g0250961"
0,2.0333545161235,0.847,0.664,0,"2","MtDEF4%20"
2.62717705502296e-13,1.98754020148292,0.485,0.517,5.25435411004592e-10,"2","MtrunA17Chr2g0298801"
9.04796226664945e-183,1.9848131648404,0.675,0.626,1.80959245332989e-179,"2","MtrunA17Chr3g0107181"
0,1.96815287139026,0.833,0.672,0,"2","MtrunA17Chr1g0200651"
0,1.94038761313305,0.713,0.436,0,"2","MtrunA17Chr5g0421091"
0,1.92472491533591,0.732,0.673,0,"2","MtrunA17Chr4g0073191"
0,1.91596638932854,0.829,0.642,0,"2","MtIDA32"
0,1.9100419144142,0.75,0.499,0,"2","MtrunA17Chr6g0448861"
0,1.8354983106268,0.675,0.48,0,"2","MtrunA17Chr7g0221051"
0,1.80311568834046,0.815,0.643,0,"2","MtIDA34"
1.3231731292818e-277,1.80115161367545,0.666,0.578,2.6463462585636e-274,"2","MtrunA17Chr8g0348201"
1.42344272515364e-298,1.77680264128444,0.683,0.578,2.84688545030728e-295,"2","MtNPF5.18"
0,1.75020583401552,0.77,0.635,0,"2","MtLAX3"
0,1.74026363313554,0.801,0.561,0,"2","MtLAX1"
0,1.70404989363409,0.719,0.562,0,"2","MtSULTR3.4a"
0,1.69256223599731,0.791,0.645,0,"2","MtSULTR3.3a"
0,1.68914830873427,0.763,0.586,0,"2","MtrunA17Chr3g0096941"
0,1.6871965185932,0.698,0.443,0,"2","MtrunA17Chr4g0069841"
0,1.63586483378,0.788,0.569,0,"2","MtrunA17Chr8g0377841"
0,1.60879794260103,0.753,0.634,0,"2","MtrunA17Chr2g0305891"
0,1.6034329861668,0.707,0.529,0,"2","MtrunA17Chr1g0166291"
0,1.59648267684466,0.781,0.687,0,"2","MtrunA17Chr3g0105311"
7.5274783658835e-242,1.58853112595978,0.618,0.422,1.5054956731767e-238,"2","MtrunA17Chr8g0365401"
0,1.56771038804723,0.758,0.643,0,"2","MtrunA17Chr1g0155001"
0,1.49864407581955,0.688,0.601,0,"2","MtrunA17Chr8g0371771"
2.6499762166155e-228,1.49158726736367,0.646,0.545,5.29995243323099e-225,"2","MtrunA17Chr1g0166381"
0,1.4676408506771,0.804,0.701,0,"2","MtrunA17Chr6g0484031"
1.23881249544955e-79,1.4576336999902,0.559,0.495,2.47762499089909e-76,"2","MtrunA17Chr5g0428141"
0,1.42330740538162,0.784,0.628,0,"2","MtrunA17Chr4g0018451"
0,1.39768283242308,0.754,0.643,0,"2","MtBG42"
0,1.39485992351072,0.727,0.554,0,"2","MtrunA17Chr2g0309271"
0,1.39073400344101,0.794,0.642,0,"2","MtrunA17Chr7g0226941"
1.08566246561698e-13,1.38781722308107,0.521,0.521,2.17132493123396e-10,"2","MtGASA11"
